size,keywords,coping_patterns,stigma_indicators,emotional_language,cluster_id
177,"[{'keyword': 'cinematherapyshow appreciate', 'score': 0.6708}, {'keyword': 'video yall', 'score': 0.3274}, {'keyword': 'review', 'score': 0.286}, {'keyword': 'doing kind', 'score': 0.2529}, {'keyword': 'sure amazing', 'score': 0.2326}, {'keyword': 'attention 39', 'score': 0.2149}, {'keyword': 'work channel', 'score': 0.2125}, {'keyword': 'disappoint thank', 'score': 0.1871}, {'keyword': 'say haha', 'score': 0.1785}, {'keyword': 'breaking rule', 'score': 0.1604}]","{'help_seeking': {'count': 2, 'frequency': 0.011299435028248588}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 2, 'frequency': 0.011299435028248588}, 'treatment': {'count': 1, 'frequency': 0.005649717514124294}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 2, 'frequency': 0.011299435028248588}, 'normalization': {'count': 1, 'frequency': 0.005649717514124294}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 3, 'frequency': 0.01694915254237288}, 'negative': {'count': 1, 'frequency': 0.005649717514124294}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 3, 'frequency': 0.01694915254237288}}",22
53,"[{'keyword': 'doing okay', 'score': 0.3394}, {'keyword': 'asking doing', 'score': 0.3269}, {'keyword': 'friend doing', 'score': 0.3023}, {'keyword': 'mind asking', 'score': 0.2213}, {'keyword': 'girl doing', 'score': 0.1945}, {'keyword': 'hope', 'score': 0.1507}, {'keyword': 'friend', 'score': 0.1501}, {'keyword': 'today', 'score': 0.1321}, {'keyword': 'dear', 'score': 0.1314}, {'keyword': 'don', 'score': 0.1268}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 1, 'frequency': 0.018867924528301886}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",23
88,"[{'keyword': 'family congratulations', 'score': 0.6055}, {'keyword': 'congratulations blessings', 'score': 0.5448}, {'keyword': 'congratulations congrats', 'score': 0.5221}, {'keyword': 'congratulations wishing', 'score': 0.4972}, {'keyword': 'aww congratulations', 'score': 0.4868}, {'keyword': 'beautiful baby', 'score': 0.3449}, {'keyword': 'sweetest lucky', 'score': 0.3038}, {'keyword': 'thanks blessing', 'score': 0.2981}, {'keyword': '39 ll', 'score': 0.1504}, {'keyword': 'care', 'score': 0.138}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.011363636363636364}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",24
119,"[{'keyword': 'sharing awww', 'score': 0.3598}, {'keyword': 'awesome awww', 'score': 0.3433}, {'keyword': '39 amazing', 'score': 0.2724}, {'keyword': 'sooo sweet', 'score': 0.2698}, {'keyword': 'cutest baby', 'score': 0.2559}, {'keyword': 'beautiful love', 'score': 0.2453}, {'keyword': 'incredible ugh', 'score': 0.2449}, {'keyword': 'thanks watching', 'score': 0.2408}, {'keyword': 'haha', 'score': 0.1332}, {'keyword': 'ridiculously', 'score': 0.0882}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.008403361344537815}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 1, 'frequency': 0.008403361344537815}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",25
57,"[{'keyword': 'thank forever', 'score': 0.28}, {'keyword': 'thank wonderful', 'score': 0.2159}, {'keyword': 'thank thank', 'score': 0.2125}, {'keyword': 'truly amazing', 'score': 0.208}, {'keyword': 'xx excellent', 'score': 0.199}, {'keyword': 'thanks awesome', 'score': 0.1663}, {'keyword': 'awesome great', 'score': 0.1107}, {'keyword': 'love', 'score': 0.1086}, {'keyword': 'truly', 'score': 0.0239}, {'keyword': 'quite', 'score': -0.0245}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",26
82,"[{'keyword': 'thanks watching', 'score': 0.4308}, {'keyword': 'hope enjoyed', 'score': 0.3434}, {'keyword': 'pleasure thanks', 'score': 0.3247}, {'keyword': 'liked thanks', 'score': 0.2837}, {'keyword': 'glad', 'score': 0.2273}, {'keyword': 'watching love', 'score': 0.1359}, {'keyword': 'sharing comment', 'score': 0.089}, {'keyword': 'got', 'score': 0.0773}, {'keyword': 'hi', 'score': 0.0657}, {'keyword': 'agree', 'score': 0.0451}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.012195121951219513}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 1, 'frequency': 0.012195121951219513}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",27
162,"[{'keyword': 'beautiful work', 'score': 0.4657}, {'keyword': 'job fantastic', 'score': 0.4128}, {'keyword': 'great job', 'score': 0.4105}, {'keyword': 'job love', 'score': 0.3067}, {'keyword': 'amazing love', 'score': 0.3063}, {'keyword': 'thank great', 'score': 0.2955}, {'keyword': 'wow', 'score': 0.2398}, {'keyword': 'mate', 'score': 0.1886}, {'keyword': 'tyler fantastic', 'score': 0.1763}, {'keyword': 'absolutely', 'score': 0.1138}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",28
96,"[{'keyword': 'love loved', 'score': 0.3736}, {'keyword': 'love love', 'score': 0.3603}, {'keyword': 'love', 'score': 0.358}, {'keyword': 'loved', 'score': 0.3043}, {'keyword': 'thank love', 'score': 0.3031}, {'keyword': 'love thank', 'score': 0.2941}, {'keyword': 'episode love', 'score': 0.2519}, {'keyword': 'loved episode', 'score': 0.1654}, {'keyword': 'thank', 'score': 0.1396}, {'keyword': 'episode', 'score': 0.0138}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",29
70,"[{'keyword': 'thank thank', 'score': 0.1687}, {'keyword': 'thank', 'score': 0.1322}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",30
91,"[{'keyword': 'heaps thanks', 'score': 0.4055}, {'keyword': 'heaps mate', 'score': 0.354}, {'keyword': 'thanks heaps', 'score': 0.3522}, {'keyword': 'mate thanks', 'score': 0.2631}, {'keyword': 'thanks mate', 'score': 0.2619}, {'keyword': 'heaps', 'score': 0.2161}, {'keyword': 'mate', 'score': 0.1971}, {'keyword': 'thanks', 'score': 0.1702}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",31
95,"[{'keyword': 'thank sharing', 'score': 0.4035}, {'keyword': 'sharing beautiful', 'score': 0.308}, {'keyword': 'ladies sharing', 'score': 0.2012}, {'keyword': 'thank work', 'score': 0.1876}, {'keyword': 'wow good', 'score': 0.1793}, {'keyword': 'great job', 'score': 0.1566}, {'keyword': 'love', 'score': 0.144}, {'keyword': 'sharing kindness', 'score': 0.1242}, {'keyword': 'sharing gb', 'score': 0.1165}, {'keyword': 'amazing thanks', 'score': 0.0666}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.010526315789473684}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",32
180,"[{'keyword': 'thank thank', 'score': 0.2184}, {'keyword': 'thank', 'score': 0.1008}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",33
81,"[{'keyword': 'thank video', 'score': 0.2049}, {'keyword': 'thank thankyou', 'score': 0.2019}, {'keyword': 'thank thank', 'score': 0.1637}, {'keyword': 'thankyou emma', 'score': 0.1503}, {'keyword': 'comment thank', 'score': 0.1366}, {'keyword': 'thanks thanks', 'score': 0.1088}, {'keyword': 'thank', 'score': 0.0971}, {'keyword': 'video', 'score': 0.0374}, {'keyword': 'comment', 'score': -0.0125}, {'keyword': 'emma', 'score': -0.0696}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",34
61,"[{'keyword': 'thank thank', 'score': 0.2758}, {'keyword': 'thank thanks', 'score': 0.2503}, {'keyword': 'thank', 'score': 0.212}, {'keyword': 'thanks thanks', 'score': 0.1948}, {'keyword': 'thanks mom', 'score': 0.1211}, {'keyword': 'thanks emma', 'score': 0.12}, {'keyword': 'thanks mate', 'score': 0.1012}, {'keyword': 'mate', 'score': 0.0321}, {'keyword': 'mom', 'score': 0.0211}, {'keyword': 'emma', 'score': 0.0023}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",35
55,"[{'keyword': 'thank thank', 'score': 0.2472}, {'keyword': 'thank', 'score': 0.187}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",36
71,"[{'keyword': 'thank trish', 'score': 0.2594}, {'keyword': 'sister thank', 'score': 0.2586}, {'keyword': 'emma thank', 'score': 0.2461}, {'keyword': 'thank thank', 'score': 0.2393}, {'keyword': 'thank sister', 'score': 0.235}, {'keyword': 'thank', 'score': 0.2222}, {'keyword': 'thank emma', 'score': 0.2205}, {'keyword': 'trish', 'score': 0.1903}, {'keyword': 'sister', 'score': 0.1353}, {'keyword': 'emma', 'score': 0.1186}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",37
159,"[{'keyword': 'emma thank', 'score': 0.2419}, {'keyword': 'thank thank', 'score': 0.2332}, {'keyword': 'thank emma', 'score': 0.2172}, {'keyword': 'thank', 'score': 0.2152}, {'keyword': 'emma', 'score': 0.1145}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",38
82,"[{'keyword': 'thank thank', 'score': 0.2076}, {'keyword': 'thank thanks', 'score': 0.1895}, {'keyword': 'thanks thank', 'score': 0.1769}, {'keyword': 'thank', 'score': 0.1571}, {'keyword': 'emma thank', 'score': 0.1405}, {'keyword': 'thanks thanks', 'score': 0.1399}, {'keyword': 'thank emma', 'score': 0.1084}, {'keyword': 'thanks', 'score': 0.1001}, {'keyword': 'emma', 'score': 0.0003}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",39
85,"[{'keyword': 'thank thankyou', 'score': 0.2107}, {'keyword': 'thankyou thank', 'score': 0.2073}, {'keyword': 'thank thank', 'score': 0.1686}, {'keyword': 'thank thanks', 'score': 0.1672}, {'keyword': 'thanks thank', 'score': 0.1608}, {'keyword': 'thankyou', 'score': 0.1492}, {'keyword': 'thanks thanks', 'score': 0.1308}, {'keyword': 'thank', 'score': 0.0812}, {'keyword': 'thanks', 'score': 0.0363}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",40
206,"[{'keyword': 'videos tyler', 'score': 0.5197}, {'keyword': 'enjoy video', 'score': 0.4711}, {'keyword': 'amazing work', 'score': 0.4246}, {'keyword': 'thankyou stay', 'score': 0.4237}, {'keyword': 'doing wonderful', 'score': 0.4002}, {'keyword': 'upload superb', 'score': 0.3835}, {'keyword': 'man inspiring', 'score': 0.2886}, {'keyword': 'job love', 'score': 0.2753}, {'keyword': 'amazingly yard', 'score': 0.2682}, {'keyword': 'just wow', 'score': 0.2345}]","{'help_seeking': {'count': 1, 'frequency': 0.0048543689320388345}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.0048543689320388345}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 1, 'frequency': 0.0048543689320388345}, 'normalization': {'count': 1, 'frequency': 0.0048543689320388345}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 2, 'frequency': 0.009708737864077669}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",41
86,"[{'keyword': 'beautiful transformation', 'score': 0.4846}, {'keyword': 'beautiful work', 'score': 0.4471}, {'keyword': 'absolutely stunning', 'score': 0.4076}, {'keyword': 'great outstanding', 'score': 0.3945}, {'keyword': 'turned super', 'score': 0.2487}, {'keyword': 'job absolutely', 'score': 0.2413}, {'keyword': 'wow did', 'score': 0.2209}, {'keyword': 'merry christmas', 'score': 0.2198}, {'keyword': 'br', 'score': 0.1356}, {'keyword': 'sharing videos', 'score': 0.0285}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 1, 'frequency': 0.011627906976744186}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",42
74,"[{'keyword': 'loss condolences', 'score': 0.5076}, {'keyword': 'grief journey', 'score': 0.459}, {'keyword': 'hope coping', 'score': 0.4082}, {'keyword': 'loss happy', 'score': 0.3852}, {'keyword': 'hugs 39', 'score': 0.3321}, {'keyword': 'love wife', 'score': 0.3151}, {'keyword': 'therapy sorry', 'score': 0.297}, {'keyword': 'glad beautiful', 'score': 0.2384}, {'keyword': 'sending big', 'score': 0.2174}, {'keyword': 'isolate wish', 'score': 0.1917}]","{'help_seeking': {'count': 2, 'frequency': 0.02702702702702703}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 2, 'frequency': 0.02702702702702703}, 'treatment': {'count': 1, 'frequency': 0.013513513513513514}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 1, 'frequency': 0.013513513513513514}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 2, 'frequency': 0.02702702702702703}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 1, 'frequency': 0.013513513513513514}}",43
158,"[{'keyword': 'enjoy episode', 'score': 0.4863}, {'keyword': 'thanks watching', 'score': 0.3844}, {'keyword': 'thank glad', 'score': 0.2844}, {'keyword': 'aww', 'score': 0.2693}, {'keyword': 'emma glad', 'score': 0.2518}, {'keyword': '39 39', 'score': 0.2173}, {'keyword': 'doing frend', 'score': 0.1955}, {'keyword': 'hope like', 'score': 0.1481}, {'keyword': 'sticking long', 'score': 0.121}, {'keyword': 've', 'score': 0.1005}]","{'help_seeking': {'count': 1, 'frequency': 0.006329113924050633}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 1, 'frequency': 0.006329113924050633}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",44
266,"[{'keyword': 'helped thank', 'score': 0.3615}, {'keyword': 'thanks super', 'score': 0.2792}, {'keyword': 'sooooo helpful', 'score': 0.2532}, {'keyword': 'posting helpful', 'score': 0.2108}, {'keyword': 'thankyou really', 'score': 0.2097}, {'keyword': 'kindly thank', 'score': 0.2011}, {'keyword': 'lt super', 'score': 0.0866}, {'keyword': 'dang', 'score': 0.0686}, {'keyword': 'amazingly', 'score': 0.0464}, {'keyword': 'sooooo', 'score': 0.0414}]","{'help_seeking': {'count': 1, 'frequency': 0.0037593984962406013}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",45
872,"[{'keyword': 'therapy videos', 'score': 0.5602}, {'keyword': 'greatful videos', 'score': 0.4392}, {'keyword': 'sent video', 'score': 0.3422}, {'keyword': 'love healing', 'score': 0.3394}, {'keyword': 'helping great', 'score': 0.3323}, {'keyword': 'thankyou sharing', 'score': 0.3136}, {'keyword': 'emma thanks', 'score': 0.2574}, {'keyword': '39 grateful', 'score': 0.2511}, {'keyword': 'feel comforted', 'score': 0.21}, {'keyword': 'reminders difficulty', 'score': 0.1882}]","{'help_seeking': {'count': 7, 'frequency': 0.008027522935779817}, 'self_care': {'count': 2, 'frequency': 0.0022935779816513763}, 'support_networks': {'count': 6, 'frequency': 0.006880733944954129}, 'treatment': {'count': 5, 'frequency': 0.005733944954128441}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 4, 'frequency': 0.0045871559633027525}, 'dismissal': {'count': 2, 'frequency': 0.0022935779816513763}, 'normalization': {'count': 2, 'frequency': 0.0022935779816513763}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 7, 'frequency': 0.008027522935779817}, 'negative': {'count': 1, 'frequency': 0.0011467889908256881}, 'anxiety': {'count': 2, 'frequency': 0.0022935779816513763}, 'depression': {'count': 1, 'frequency': 0.0011467889908256881}}",46
